id,name,description,recommendation
1,ACANTAMOEBA,"đơn bào cơ thể sống, gây ra nhiễm trùng mắt, da, và hệ thống thần kinh trung ương và A nhiễm nghiêm trọng của tủy não và cột sống thường xảy ra ở những người có hệ thống miễn dịch bị tổn hại",
2,ASCARIS LUMBRICOIDES,Một ký sinh trùng giun đũa,
3,ANEMIA,"Thiếu sắt, Khoáng chất và Vitamine B12 trong máu, có thể tạo ra tình trạng mỏi mệt",
4,ATHEROSCLEROSES,Tình trạng xơ cứng tĩnh mạch,Nên bổ sung Omega 3
5,ACCIDENTAL INVOLUTION,"Sự khô khan nơi tuyến giáp, thường gắn liền với lão hóa, sẽ ảnh hưởng tới tiến trình hấp thu thức ăn, dưỡng chất, và có thể mang lại sự sút giảm sức đề kháng hay hệ miễn dịch","Chúng ta cần bồi bổ cơ thể với đạm đậu nành và bổ sung XTRACAL (Can xi) trong bửa ănsáng, tối và lám sạch hóa đường ruột để quá trình trao đổi chất thuận lợi hơn cho cơ thể khỏe mạnh, hấp thu dưỡng chất tốt và tăng sức đề kháng"
6,ACUTE PYELONEPHRITIS,Viêm cấp tính của thận,
7,ACNE,"Gây dị ứng da , ngứa ngáy, có thể thành bệnh mãn tính trên da với những điểm đỏ hay tím.",
8,AMOBEN - PETERLING,Cơ quan đơn bào,
9,ACHRESTIC DIABETES,"Biến chứng bệnh Tiểu đường ảnh hưởng chúc năng của Thận, gây lão hóa nhanh ở nội tạng và các động mạch, tĩnh mạch.",
10,ANCILOSTOMA DUODENALE,"Một loại sán móc gây đau đớn vùng bụng, ăn không thấy ngon miệng, làm tổn hại thành ruột và ảnh hưởng đến tuần hoàn máu trong cơ thể.",
11,ACUTE CATARRHAL CHOLECYSTITIS,Viêm túi mật cấp tính ACU.,
12,PYELONEPHRITIS,Viêm tiết niệu.,"Uống trà năng lượng, và chiết suất Lô hội (Aloe) để thanh lọc cơ thể và đào thãi độc tố."
13,ASPERGILLUS FUMIGATUS,Một loại nấm phủ quanh cuống phổi có thể gây tổn hại đến tuyến hô hấp.,
14,ASPERGILLUS NIGER,Nấm tạo ra độc tố,
15,AQUASPIRILLIUM SERPENS,Bacteria - Một loại vi khuẩn từ nguồn nước,
16,AGE RELATED INVOLUTION,"Những rắc rối liên quan đến lão hóa, hốc môn, và hệ thống bạch cầu, làm suy yếu hệ miễn dịch, sức đề kháng của các tế bào trong người.","Thải độc và bồi bổ cơ thể. Dùng Aloe (Chiết xuất Lô hội), Xtracal (Can xi), và Thermo Tea (Trà Năng lượng) Alveo có tác dụng khữ các kim loại nặng trong máu."
17,ALLERGY,"Những phản ứng quá nhạy cảm với các chất thường gặp trong môi trường dược phẩm không thích ứng với hệ thống miễn dịch. Điều này được tạo ra bởi sự kích hoạt không đúng mức của các kháng thể. Bạn có thể gặp những triệu chứng sau đây: Viêm mủi, Ngứa, hay đỏ mắt hoặc sưng mắt (hội chứng viêm màng kết), Hẹp khí quản, cuốn phổi, thở khò khè hay đứt đoạn, thỉnh thoãng như lên cơn suyễn, cảm thấy ngộp hơi có khi đau nhức trong lổ tai, giảm thính lực bởi nghẽn vòi Ot-lát, Chứng chàm bội nhiễm, nổi mày đay hoặc các trường hợp dị ứng da khác và những cơn nhức đầu lưa thưa.",
18,ANGINA PECTORIS,"Chứng đau thắt ngực do nguồn cung cấp oxygen đến cơ tim không đầy đủ, rất nguy hiểm.",
19,ALLERGIC VASCULITIS,Hội chứng tự động giảm hệ miễn dịch xảy ra khi một trong vài bộ phận của hệ miễn dịch hủy hoại các mô tế bào của chính nó.,
20,ADENOVIRUS,"vi rút trong không khí gây ra bệnh ở đường hô hấp trên và dưới, viêm phế quản, nhiễm trùng mắt, đau xương và khớp, cơ bắp. Tiêu chảy, đau, đau bụng, nhức đầu, sốt,",
21,ADIPOSITY,"Loại virut bay trong không khí gây bệnh cho phần trên và dưới của tuyến hô hấp, làm viêm phế quản. Đau nhức xương , khớp và bắp thịt. Đau ở vùng bụng, nhức đầu và gây sốt.",
22,ALVEOCOCCUS MULTIOCULARIS,Ký sinh trùng,
23,ARRYTHMIA OF THE HEART,"Những nhịp đập bất thường của tim, loạn nhịp",
24,AUTOIMMUNE THYROIDITIS,Một loại bệnh trong đó cơ thể tự sản sinh ra các kháng thể chống lại những hốc môn của tuyến giáp.,
25,BABESIA DIVERGENS,"ký sinh trùng có thể gây nhiễm trùng đường ruột, gan, túi mật,",
26,BACTERIUM LACTIS AEROGENES,"Khuẩn sửa, một loại vi khuẩn có trong Acid Lactic, thường là một phần của siêu vi khuẩn. Nhưng nếu gia tăng dân số của chúng quá mức, sẽ bao phủ nước nhầy ở ruột non và nhân đó làm giảm sự hấp thu của thực phẩm, vitamines và các chất bổ sung. Nếu chúng không dọn dẹp màng nhầy và đồng thời làm viêm tấy phế quản, làm hạn chế dung tích của hai lá phổi, chúng có thể gây nhiểm trùng tuyến tiếp niệu và phá hủy chất lượng của da.",Làm sạch hay khử độc đường ruột.
27,BACTERIUM COLI,Vi khuẩn đường ruột,
28,BACTEROIDES FRAGILIS,Loại vi khuẩn có thể gây nhiểm trùng trong ruột và âm đạo phụ nữ.,
29,BACILLUS CEREUS,"Loại vi khuẩn thải ra độc tố làm tổn hại đến tim, có thể gây ra nôn mữa và tiêu chảy.",
30,BLASTOCYSTIS HOMINIS,"ký sinh trùng sống trong ruột có thể gây tiêu chảy, và làm suy yếu cơ thể",
31,BOSTROOP'S DISEASE,"Bệnh loãng xương, ngang khu vực thắt lưng, những người già thường bị bệnh chứng này.",Dùng Xtracal
32,BORDETELLA PERTUSSIS,Vi khuẩn gây ra ho.,
33,BORELLIA BURGDORFERI,"Vi khuẩn Bollelia được truyền vào người bởi vết thương nhiểm trùng hoặc do muổi đốt, có thể hành sốt, nhức đầu, mệt mỏi, suy nhược cơ thể, bắp thịt hay khớp xương bị đau và da có thể phát ban. Vi khuẩn này gây tổn hại đến khớp xương, tim và hệ thần kinh trung tâm.",
34,BRAIN CONCUSSION,"Chấn động hay choáng não, Đây là dạng nhẹ nhất của chấn thương đầu, nó có thể được gây ra bởi vết thương, hay một cú sốc, tạo ra cảm giác mất phương hướng, sung huyết lên mắt, và gây nôn mữa. Việc tái lập các chấn động có thể dẩn đến những thay đổi ngoài ý muốn, làm giảm trí nhớ, có cảm giác bất an, hay bị kích động, trạng thái thay đổi bất chừng, mắt cảm thấy đau, nhức đầu, và trong người mệt mỏi, chóng mặt người bần thần, khó ngủ. Hoạt động cơ thể bị giảm sút hiệu năng (bởi áp lực tinh thần lẩn thể xác).","Để cho mắt và đầu nghĩ ngơi, đồng thời dùng đủ lượng oxy phục hồi cho não và các mạch máu. Tránh những giao động mạnh, cử tiếng ồn và hãy dùng Niteworks"
35,BRONCHOPNEUMONIA,Vi khuẩn có thể gây tổn hại đến buồng phổi,
36,BRONCHITIS,"Viêm phế quản BRANHAMELLA (NEISSERIA) - Loại ký sinh trùng có thể gây nhiểm trùng đường hô hấp, hư tổn lổ tai trong, mắt, hệ thần kinh trung tâm và khớp.",
37,BURSITIS,"Làm giảm sung lượng, hay phản xạ đầu gối, khớp vai, và hai mông. Đồng thời, ảnh hưởng đến các bắp thịt và gân. Đôi khi có liên quan đến bệnh viêm khớp và Gút.",
38,CALF MUSCLE SPASM,"Bắp thịt bị co rút, một trong những nguyên nhân thường do thiếu chất điện phân trong cơ (đối với vận động viên), đa phần bị chuột rút ở hai chân, nhưng cũng có thể là bất kỳ bắp thịt trơn tru khác trong người.","Tăng cường các chất điện phân, dùng Xtracal."
39,CYTOMEGALOVIRUS,Loại Virus gây tổn hại đến tim và phổi.,"Nên tăng cường sức đề kháng, thải độc tố trong ruột và cơ thể."
40,CANDIDA ALBICANS,"Là một loại ký sinh men, một phần tự nhiên của cơ thể, nhưng nếu quần thể nội tại bắt đầu nhân rộng một cách không kiểm soát được và tạo mảng nhiểm trùng. Loại bỏ chúng ra khỏi người sẽ là một vấn đề lớn. Lớp men này được tìm thấy trong ruột, tuyến tiết niệu, vòm miệng, thực quản và trong cổ họng.",
41,CANDIDA CRIPTOCOCCUS NEOFORMANS,"Nấm, bọt men",
42,CANDIDA MYCOSIS ORIS,"Nhiểm trùng do nấm, có thể gây bệnh chứng trên da.",
43,CANDIDA GLABRATA,"Một loại men tạo ép chế chất kháng nguyên, làm giảm hệ miễn dịch.",
44,CANDIDA SAHAROMYCES,"Loại nấm gây ép chế các kháng thể, suy giảm hệ miễn dịch.",
45,CANDIDA CRIPTOCOCCUS NEOFORMANS,"Những nốt sùi dạng nấm có thể gây nhiểm trùng phổi, tạo ép chế lên các kháng thể làm suy yếu hệ miễn dịch.",
46,CANDIDA CANDIDA ROBUSTA,"Một loại nấm gây ức chế đối với ững kháng thể, làm suy giảm hệ miễn dịch.",
47,CANDIDA PARAPSILOSIS,Loại ký sinh men gây ức chế lên các kháng thể. Hệ miễn dịch có thể bị nhiểm trùng.,
48,CALCULARY CHOLECYSTITIS,Viêm túi mật,
49,CATARRHAL GASTRITIS,Viêm chày dạ dày,
50,CERVITITIS,Viêm cổ tử cung. ,
51,CERVIX UTERI EROSION,"Rối loạn dạ con, sự bào mòn da tử cung.",
52,CLOSTRIDIUM BOTULINUM,vi khuẩn. sản xuất một chất độc,
53,CLONORCHIS SINENSIS,"Ký sinh trùng trong gan, gây nên chứng co giật.",
54,CLONORCHIS VIVERRINI,Thái Lan sán sống trong gan và túi mật của những vùng,
55,CONVULSIVE DISORDER,"Điều này có thể làm rung rẩy hai tay, hoặc bị chuột rút.",
56,CONJUNCTIVITIS,"Viêm màng kết, điều này có thể gây ngứa hay chảy nước mắt.",
57,COLITIS,Viêm ruột kết.,
58,COXSACKIE,"Loại virus tạo viêm màng kết, gây quá tải lên mắt..",
59,CRYPTOSPORIDIUM HOMINIS,"ký sinh trùng gây bệnh đường ruột có thể gây ra các vấn đề dạ dày và đau bụng, tiêu chảy",
60,CYCTOPIELITIS,"Đây là chứng viêm bàng quang, liên quan đến bệnh trong thận. Thông thường chúng được gây ra bởi các virus, vi khuẩn hoặc nấm trong ruột. Những triệu chứng bao gồm đau buốt khi đi tiểu, có máu trong nước tiểu, làm sốt và đau lưng hoặc mông. Có thể người ta không cảm nhận được những triệu chứng và cũng không hề biết chúng tồn tại ngay cả sau khi tiểu hoặc đại tiện.",Dùng chiết suất Lô hội cô đặc và liệu pháp Plasma.
